"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1955","CART-02. Added multiple items display in the cart @regression","chromium","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
"","3705","CART-07: Cart persistence check @regression","webkit","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
"","4013","ORDER-01: Successful order placement with one item @regression @smoke","webkit","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","4636","CART-02. Added multiple items display in the cart @regression","firefox","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
"","2032","ORDER-08: Canceling order placement should led to Item List @regression","webkit","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","2003","CART-03: Removed from cart item is not displayed in the cart @regression @smoke","chromium","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
"","2557","CART-04: Added to the cart item can be removed from the Item list @regression @smoke","firefox","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
"","4468","CART-01. Added item displays in the cart @regression @smoke","firefox","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
"","3954","ORDER-02: Successful order placement with multiple items @regression","webkit","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","3363","ORDER-07: Canceling checkout process should led to the cart @regression","webkit","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","2020","ORDER-02: Successful order placement with multiple items @regression","chromium","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","3447","CART-06: Contunue shopping should return back to the Item List @regression @smoke","webkit","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","2994","CART-06: Contunue shopping should return back to the Item List @regression @smoke","firefox","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","2879","ORDER-07: Canceling checkout process should led to the cart @regression","firefox","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","2907","ORDER-02: Successful order placement with multiple items @regression","firefox","2026-06-03","passed","2026-06-03","Order Placement Suite","OrderPlacement.spec.ts","",""
"","4366","CART-03: Removed from cart item is not displayed in the cart @regression @smoke","firefox","2026-06-03","passed","2026-06-03","Cart Functionality Suite","CartFunctionality.spec.ts","",""
